"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Tucker Carlson had the Head of the White House Press Association on tonight. Tucker hit him hard when he said he d  never seen a lamer speaker at the event. The whole evening was arranged around a guy who wasn't there President Trump.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""A Conservative Reporter was brave enough to grab the mic at the Climate March and instruct people to yell Bill Clinton is a rapist. The crowd wasn't too happy!""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""A brave London tour bus passenger saw a Muslim with a large knife and was able to disarm him. Do you recall the American woman who was in London on vacation and was randomly murdered on the street by a jihadist? How soon we forget, right?""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""President Trump on his first 100 days in office: We re moving awfully well. We ve got a lot of things done. We are, I don t think there s ever been anything like this.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Yvette Felarca, a middle school teacher and national organizer for By Any Means Necessary, a militant left-wing activist group. She helped organize the protests are UC-Berkeley is calling for similar protests at universities across the country when there are guest speakers she believes are fascists.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""    \""I'm sorry I didn't get a chance to meet you. I'm so sorry I missed your birthday. I love you so much. Thank you for all the love and support I've received over the years.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The El Chapo Act was introduced by Cruz Tuesday. It would use seized assets from drug lords to pay for the wall. Federal prosecutors are trying to seize $14 billion in assets. The border wall has been estimated at $21.6 billion.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Fred Davis and John Ladd are two Arizona ranchers who are living and making a living on our US-Mexico border. Ladd was asked if he ever invited Pelosi to the border and he responded by saying,  Yes.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Dick Durbin says as long as Democrats say they're for Roe v Wade then they can play in the sand box. Nancy Pelosi just said the opposite about abortion and Democrats.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""President Trump was speaking to astronaut Peggy Whitson about innovations in space when he was told they drink their own urine in space. He was quick to say,  Better you than me Hahaha!""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""President Trump received a football jersey with the number 45 on it. Trump is close with Robert Kraft, the owner of the Patriots.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
