title,text,subject,date,label
Bernie Sanders shows strong momentum on social media,"NEW YORK (Reuters) - It may be too close to call between Democratic presidential candidates Hillary Clinton and Bernie Sanders in the Iowa caucuses on Monday, but the senator from Vermont was the clear winner on social media.  Sanders maintained his strong social media presence during the caucuses, commanding the majority of the Twitter mentions over Clinton. Sanders was mentioned over 77,000 times on Twitter during the caucus, while Clinton was mentioned 52,000 times, according to social media sentiment analytics firm Brandwatch.  Clinton, the Democratic front-runner and former secretary of state, was in a virtual tie with Sanders with more than 93 percent of Iowa precincts reporting. Sanders, a self-described democratic socialist, amassed the largest number of new Facebook followers of any candidate in the race during Monday, the social network said, topping Republican presidential front-runner Donald Trump by 15,695 to 10,704. Clinton had the third most new followers, with 6,210 liking her page in the past day. Among Republicans, Trump finished second in the caucuses to Ted Cruz, the U.S. senator from Texas. Sanders resonated with Millennial social media users as well. Social media platform Yik Yak, which is particularly popular among younger social media users, said Sanders was mentioned in 60 percent of all yaks that discussed a Democratic candidate during the caucuses. While social media buzz does not necessarily translate into votes, it is a good indication of the interest level surrounding a candidate. The Iowa contest was the first of the state-by-state battles to pick nominees for the Nov. 8 election to succeed President Barack Obama. Google trends data also showed strong interest in Sanders. In Iowa, Sanders was the top-searched-for Democratic candidate on the search engine, with 52 percent of queries relating to the Democratic candidates. Clinton commanded 42 percent of queries. Even so, Trump was the top most-searched for presidential candidate overall, according to the most recent Google search data available.  (Reporting by Anjali Athavaley; Additional reporting by Amy Tennery; Editing by Marguerita Choy and Peter Cooney) SAP is the sponsor of this coverage which is independently produced by the staff of Reuters News Agency.",politicsNews,"February 2, 2016 ",1
Republican Cruz apologizes for email implying Carson might exit race,"WASHINGTON (Reuters) - U.S. Republican presidential candidate Ted Cruz apologized to Ben Carson on Tuesday over an email his campaign sent on Monday night that implied Carson was about to drop out of the race and that his Iowa backers should be urged to vote for Cruz instead. A staffer for Cruz sent the email after rumors began circulating that Carson would return to Florida following Iowas caucuses on Monday rather than go straight to New Hampshire or South Carolina, other early voting states in the state-by-state nominating contests for the Nov. 8 election. The press is reporting that Dr. Ben Carson is taking time off from the campaign trail after Iowa and making a big announcement next week, the email read, according to CNN. Please inform any Carson caucusgoers of this news and urge them to caucus for Ted Cruz. Carson said he was simply leaving Iowa to avoid a winter storm and to get fresh clothes before continuing his campaign on Wednesday. The retired neurosurgeon, who said his fourth-place performance in Iowa would have been better had the email never been sent, criticized the move as a dirty trick and said the Cruz campaign should face some kind of consequences. What this does is makes me more determined than ever to try to save our country, Carson said on Fox News on Tuesday. In an apology released on Tuesday afternoon, Cruz, who won the Iowa Republican caucuses, categorized the email as a regular update the campaign would send to grassroots leaders. But the U.S. senator from Texas acknowledged another email should have been sent once Carson clarified he was not dropping out. This was a mistake from our end, and for that I apologize to Dr. Carson, Cruz wrote. Carson accepted the apology, his communications director, A. Larry Ross, said in a statement later on Tuesday. This incident further demonstrates that we need an individual who is not a politician to lead and to heal our nation, not someone driven by ambition, Ross said, adding that Carson would continue his campaign in New Hampshire and South Carolina. Republican National Committee Chairman Reince Priebus said he would not interfere in the situation. You take them at their word for it, and you move on to the next state, he said on CNN. The question remains whether the dispute will hurt Cruz, a favorite of conservative evangelicals looking to win over Carson supporters should Carson drop out. Dartmouth University political scientist Linda Fowler said it could hurt Cruz if other candidates start to pick up on the interaction and say: Theres a reason why nobody likes Ted Cruz, and here it is.  (Reporting by Megan Cassella, Additional reporting by Emily Stephenson; Editing by Peter Cooney and Cynthia Osterman) SAP is the sponsor of this coverage which is independently produced by the staff of Reuters News Agency.",politicsNews,"February 2, 2016 ",1
House passes bill again to restrict Obama lifting Iran sanctions,"WASHINGTON (Reuters) - The U.S. House of Representatives narrowly approved legislation on Tuesday that would restrict President Barack Obamas ability to lift sanctions under the international nuclear deal with Iran, nearly three weeks after a similar vote was canceled. House members voted 246-181 to pass the Iran Terror Finance Transparency Act, almost entirely along party lines, with almost every yes vote coming from Republicans and Democrats overwhelmingly opposed to it.  The legislation is not expected to become law, even though Republicans control both the House and Senate. Even if it were passed by the Senate, Obama has promised a veto, saying the measure would kill the landmark nuclear agreement. The House narrowly passed the legislation last month, but the vote was voided after nearly a third of the chamber showed up too late to cast their votes. The voided vote took place on Jan. 13. On Jan. 16, U.S. and Iranian authorities announced a complex deal in which Iran released four American prisoners just as the international nuclear agreement was implemented. Congressional aides said the House vote was voided because the new House speaker, Paul Ryan, was pushing members to arrive for votes on time, not because of any connection to the prisoner deal. Democratic lawmakers noted that the repeated vote was not the only one in the House on Tuesday that evoked references to Groundhog Day, the 1993 film in which the character played by the actor Bill Murray lives the same day over and over again. The Iran bill was passed just after House Republicans tried and failed to override Obamas veto of legislation to repeal his healthcare law. House Republicans have voted more than 60 times to try to repeal the healthcare overhaul, one of the Democratic presidents signature domestic policy achievements. ",politicsNews,"February 2, 2016 ",1
House fails to knock down Obama veto of anti-Obamacare bill,"WASHINGTON (Reuters) - The U.S. House of Representatives on Tuesday failed to override President Barack Obamas veto of legislation that would have dismantled his signature healthcare law, the Affordable Care Act. At least a two-thirds vote of the House was needed to knock down Obamas veto; the Republican-majority House fell short by more than three dozen votes. The vote was 241-186, and ends consideration of the bill; the Senate will not take it up. The widely expected outcome was the latest chapter in the lengthy clash between Republicans and Democrats over the Affordable Care Act, also known as Obamacare.  Republicans have been vowing to gut the law since 2010, when the then Democratic-majority Congress passed the landmark program designed to provide healthcare for millions of uninsured Americans. The House has voted to dismantle Obamacare dozens of times, but Republicans could not get a repeal through the Senate until late last year, when they used a procedural maneuver denying Democrats ability to block the legislation. Obama vetoed the bill last month; it was the eighth veto of his presidency, and none have been overridden. Republicans were anxious to show they had done everything they could to take down Obamacare, which they say has raised insurance costs and reduced health care choices. They said Tuesday that this was not the end of the story. The end of Obamacare is coming, predicted Republican House Majority Leader Kevin McCarthy. When a Republican president takes office next year, we know we can get this passed ... Obamacare can be gone once and for all. Such a scenario assumes, however, that the Republicans capture the White House in November elections, and maintain their majorities in the Senate and House as well. Democrats mocked Republicans, saying they were proposing to deprive millions of their health insurance without a replacement. About 11.3 Americans have signed up this year for  insurance on the Obamacare exchanges. While we have voted as of today 63 times to dismantle it, how many times have we voted to replace it? Zero! Zero times to replace it! declared Representative Chris van Hollen, a Democrat. The bill also would have taken funds away from Planned Parenthood, another target of Republican criticism after undercover videos showed the womens healthcare provider discussing the use of fetus parts for research. Two anti-abortion activists behind the filming of the videos  were indicted by a Texas grand jury last month, while the jury cleared Planned Parenthood of wrongdoing. ",politicsNews,"February 2, 2016 ",1
"Obama, Republican leaders seek elusive common ground in White House meeting","WASHINGTON (Reuters) - U.S. President Barack Obama met with a frequent critic, House Speaker Paul Ryan, on Tuesday as the political leaders searched for areas where they may be able to overcome partisan divisions. The Oval Office discussion was the Democratic presidents first formal face-to-face meeting with Ryan since the Wisconsin congressman took over the top post in the Republican-dominated House of Representatives in October. Following the meeting, which was closed to the press, the two ate lunch together in the White House. The session marked a rare public detente between Obama and Ryan, who have repeatedly clashed over issues such as gun control and immigration reform. The get-together in the Obamas office also included the Republican-controlled Senates majority leader, Mitch McConnell of Kentucky. While the leaders said they hoped to find common ground, there were already signs on Tuesday that compromise might be elusive. Sniping between the administration and the Republicans resumed just hours after the meeting, as White House Chief of Staff Denis McDonough slammed Republicans latest attempt to overturn the Affordable Care Act. Groundhogs Day is great for a movie plot, not a legislative strategy, McDonough said on Twitter in response to a post from Ryans account. Groundhog Day is a 1993 movie about a man who relives the same day over and over again.   During the meeting Obama urged actions in areas where Republicans had signaled some support, including ratifying the Trans-Pacific Partnership trade deal, providing tools to help address Puerto Ricos fiscal crisis and advancing cancer treatment. McConnell told reporters after the meeting that he had some problems with the trade pact and said he thought it should not be pursued before the November U.S. presidential election.    Ryan also raised concerns about the trade deal, his office said in a statement. White House spokesman Josh Earnest said after the meeting that the administration does not have a specific timeline for Congress to act on the trade agreement, but lawmakers should act quickly once the pact is ready for consideration. The leaders also discussed taking action to combat opioid addiction, criminal justice reform and the fight against the Zika virus.  Obama was pleased to meet with the Republican leaders, Earnest told reporters.     Despite the divisiveness seen on the campaign trail, it actually is possible for leading Republicans to sit down in the same office with a leading Democrat and have a conversation about the priorities of the country, he said. ",politicsNews,"February 2, 2016 ",1
Adele: No permission given to political campaigns to use her music,"(Reuters) - British singer Adele made clear on Monday that she has not given permission for anyone to use her music for political campaigns. Adeles spokesman issued a statement after Republican U.S. presidential contender Donald Trump played Adeles 2011 hit song Rolling in the Deep at rallies in Iowa, and Mike Huckabee released a YouTube parody last week of her 2015 single Hello. Adele has not given permission for her music to be used for any political campaigning, the singers spokesman said in an email. The spokesman did not say whether Adele, whose new album 25 was the biggest seller in the United States last year, was contemplating legal steps to prevent the unauthorized use of her music. Adele is far from the only pop or rock star to have seen politicians co-opt their music for political purposes. Rock band R.E.M. lashed out in September at Trump for using its hit song, Its the End of the World at a rally, and Frankie Sullivan complained about the use of the bands 1982 hit Eye of the Tiger, at a news conference in September featuring Kim Davis, a county clerk in Kentucky briefly jailed for refusing to issue gay marriage licenses.  (Reporting By Jill Serjeant; editing by Grant McCool) SAP is the sponsor of this coverage which is independently produced by the staff of Reuters News Agency.",politicsNews,"February 2, 2016 ",1
Obama to offer Colombia's Santos U.S. aid to help peace deal,"WASHINGTON (Reuters) - President Barack Obama wants to boost U.S. aid to Colombia to help remove landmines and implement the governments peace accord with a leftist rebel group, the White House said on Tuesday. Obama would discuss the plan with Colombian President Juan Manual Santos during a White House visit on Thursday, and invite U.S. lawmakers to participate in two events aimed at showing support for the potential deal that would end Latin Americas longest war. The fight between the Colombian government and the Revolutionary Armed Forces of Colombia (FARC) has killed more than 220,000 people and displaced millions more since it began in 1964. Three previous attempts at a peace accord failed. After almost four years of talks, an elusive peace deal may finally be in sight, said Bernard Aronson, the U.S. envoy to the negotiations. I think theres a real prospect for success and signing of a peace accord this year, hopefully within the first half of this year, Aronson told reporters on a conference call. Under the deal, FARC rebels would disarm, and the government would need to expand health and education services into areas of the country that had been controlled by the group - two areas where expanded U.S. financial aid could help, said Mark Feierstein, a senior director at the White House National Security Council. One of the biggest challenges will be to demobilize the FARC and ensure their reintegration into society as constructive members, Feierstein said. Feierstein declined to comment on how much additional aid Obama would propose. The United States has long been a donor to Colombia, providing almost $10 billion in aid between 2000 and 2015 through a program called Plan Colombia, according to the Congressional Research Service. Colombias government on Tuesday warned the countrys second-largest rebel group, the National Liberation Army (ELN), that time is running out to begin peace negotiations to end five decades of war. Any ELN talks would be independent of those with the FARC. On Thursday, Santos meets with Vice President Joe Biden and a group of U.S. senators at Bidens residence to talk about the peace process and the future of U.S. support for Colombia, before later meeting Obama in the Oval Office. Obama and Santos were also expected to discuss ways the two countries can work together to fight the Zika virus, Feierstein said. ",politicsNews,"February 2, 2016 ",1
Virtual tie raises doubts: Can Hillary Clinton close the deal?,"DES MOINES, Iowa (Reuters) - Hillary Clintons struggle in Iowa to fend off underdog Bernie Sanders, a self-described democratic socialist, reignited questions about her ability to close the deal with Democratic voters and turned up the pressure on her high-profile White House campaign. The Democratic presidential front-runner, whose campaign ran off the rails in Iowa in 2008 against Barack Obama, was dealt another setback on Monday in the Midwestern state that begins the 2016 race for the presidency. The former secretary of state, Clinton, 68, was pushed to a virtual tie with Sanders, a 74-year-old U.S. senator from Vermont. Next up is New Hampshire, which holds its primary on Feb. 9. Sanders has been leading in opinion polls there and has an advantage because it neighbors his home state. A Clinton loss would start to set off alarm bells with her supporters. She has had every possible structural and organizational advantage and Sanders fought her to a draw, said Dan Schnur, director of the Jesse M. Unruh Institute of Politics at the University of Southern California. This is almost a moment by moment rerun of 2008, Schnur said. The difference is her competition is not as tough this time. Clinton insisted at her post-caucus rally that she was the candidate who could unify her party and prevail against a Republican challenger in the Nov. 8 election but the sense of disappointment was palpable. Her subdued, six-minute speech contrasted with the ebullient tone of Sanders 16-minute speech.  With no clear victory to announce, Clintons campaign scrapped a plan to have her daughter Chelsea and her husband, former President Bill Clinton, introduce her. They stood alongside her instead, with Bill Clinton wearing his campaign logo badge upside-down. Aides removed the TelePrompter at the last minute, supporters at the Drake University rally told Reuters, in a further indication of last-minute changes in plans. While the race in Iowa had tightened in recent weeks, her aides had appeared to draw some confidence from a Des Moines Register/Bloomberg politics poll over the weekend that showed Clinton with a three-percentage-point lead over Sanders among likely caucus-goers. Into the early hours of Tuesday morning, Clinton and Sanders remained separated by less than a single percentage point. The race was so tight that several precincts were forced to decide whether Clinton or Sanders got the winning votes - and one more delegate - by a coin toss, following the state Democratic Partys advice. The MSNBC television network finally called the race for Clinton at nearly 3 a.m. CST (0900 GMT), and Clintons Iowa state director Matt Paul issued a statement declaring victory with no uncertainty. Opinion polls show Clinton still faces an enthusiasm gap with Sanders and her Republican rivals, whose race attracted a record turnout in Iowa. Voters have persistent doubts about her honesty and trustworthiness after months of controversy over her use of a private email server for government work while secretary of state. Sanders, who launched his campaign nine months ago with a small, sparsely attended news conference on Capitol Hill, has excited liberal activists with an anti-establishment message that calls for eradicating income inequality, breaking up the big banks and providing free college tuition. Iowa was a good state to test that message, given the heavy liberal bent of the Democratic activists who dominate the caucus process. Entrance polls of Iowa caucus-goers showed 68 percent described themselves as very or somewhat liberal. Fundraising figures reported on Sunday by Sanders underscored the extent to which his campaign has grown into a popular movement. Clinton has raised more than Sanders - her campaign brought in $109 million last year compared to his $73.5 million. But 75 percent of his haul came from donations of $200 or less, in contrast to only 18 percent of Clintons, and far more of Clintons donors have hit the $2,700 donation limit. Still, Sanders faces significant challenges when the Democratic nominating contest moves to the more diverse states of Nevada and South Carolina before expanding to 11 states on March 1, Super Tuesday, including seven in the South where Clintons advantage with African-American voters could begin to pay off. Iowa was built for Bernie Sanders, said Democratic strategist Joe Trippi, who nevertheless said the strong showing by Sanders means this race goes on longer than Clinton wanted it to.  (Additional reporting by Jonathan Allen in Washington; Editing by Caren Bohan and Howard Goller) SAP is the sponsor of this coverage which is independently produced by the staff of Reuters News Agency.",politicsNews,"February 2, 2016 ",1
"Among White House hopefuls, Trump least likely to hit 'follow' button on Twitter ","NEW YORK (Reuters) - The millions of Twitter users following Donald Trump shouldnt expect a follow back from the Republican presidential front-runner anytime soon.  Trumps campaign account @realDonaldTrump has nearly 6 million Twitter followers, the most of any candidate running for president. But he is picky about who he follows, with just 49 accounts listed as of Friday. That means he has the highest ratio of followers to those he is following, in both the Republican and Democratic fields.  In contrast, Ted Cruz, the U.S. senator from Texas who has emerged as Trumps strongest rival, follows nearly 14,000 accounts on Twitter and has 755,000 followers, according to his profile as of Friday. The exclusivity underscores how Trump primarily uses Twitter to broadcast his message as opposed to engaging in a back and forth with users, experts in digital strategy said. While other campaigns use a similar approach, Trump commands the most attention on social media. Trumps pickiness may indicate a surprising strategy for the freewheeling Republican front-runner: Playing it safe when it comes to pledging his Twitter allegiance with a follow.  Candidates cant pick and choose their followers, but they have control over when to click the follow button. There is more risk in who you follow, said Scott Talan, a communications professor at American University who teaches social media strategy. If youre actively following someone, youre assuming its not going to be some religious extremist ... or a prisoner with a record. And, while some Republican candidates follow each other, Trump follows none of them.  The accounts Trump monitors include those of his children and several hotel properties. Also on the eclectic list are musician Steven Tyler, basketball great Magic Johnson, Vince McMahon, chairman and CEO of WWE Inc, and sisters Lynette Diamond Hardaway and Rochelle Silk Richardson, former Democrats who now stump for Trump and tweet under the handle @DiamondandSilk. Despite Trumps highly public battle with Fox News over anchor Megyn Kellys role as a moderator in last weeks Republican debate, Fox shows or news personalities such as Sean Hannity account for better than 10 percent of the handles he follows. Kelly, not surprisingly, did not make the list, but the Fox handles still add up to a larger bloc than any outside of Trumps family or business. Hannity and other Fox presenters are also widely followed by Trumps rivals for the GOP presidential nomination. Trumps cautious approach to who he follows hasnt put a damper on his social activity. His account shows more than 30,000 tweets, the highest of any account reviewed by Reuters.  It also hasnt stopped Trump from committing blunders with his retweets, like the one from an account called @WhiteGenocideTM, which gave its location as Jewmerica and featured an image that referenced George Lincoln Rockwell, a prominent figure in the neo-Nazi movement in the United States. Hope Hicks, a spokeswoman for the Trump campaign, said that Trump operates his own Twitter account. Everything you see on there is pretty much directly from him, she said. The strategy behind it is to tell the truth and to call it like he sees it. On Twitter, Trump goes where his opponents fear to tread. He uses it to launch unfiltered personal attacks on those who cross paths with him. For example, he did not shy from retweeting a post that included photographs of a skimpily dressed Kelly from a magazine shoot and the comment, And this is the bimbo thats asking presidential questions? He is definitely a loose cannon in terms of how he uses his Twitter account, said Micah Sifry, co-founder of Personal Democracy Media, an online forum on technology and politics. At the same time, he hasnt been hurt by it yet because apparently a big chunk of what hes saying is popular among Republican voters.  Trump is aware of his social media success. Following the seventh Republican presidential debate on Thursday, he tweeted Twitter data showing that he commanded the most traffic during the event. Great Twitter poll-and I wasnt even there, he said. Twitter matters to campaigns - it is an increasingly important way for candidates to reach their most ardent supporters.  But talking about the issues on Twitter may not always be the most effective means of engaging supporters. A recent Trump tweet wishing retired golfer Jack Nicklaus happy birthday received more than four thousand likes, roughly twice as many as Clintons policy-related tweets on the same day.   (Additional reporting by Gina Cherelus and Amy Tennery in New York, editing by Dan Burns and Ross Colvin) SAP is the sponsor of this coverage which is independently produced by the staff of Reuters News Agency.",politicsNews,"January 31, 2016 ",1
Trump's defeat raises questions about his jetsetting campaign,"DES MOINES, Iowa (Reuters) - Republican Donald Trumps surprise defeat in Iowa at the hands of U.S. Senator Ted Cruz reflected shortcomings in his get-out-the-vote operations and an over reliance on his celebrity status in a state where voters prefer the personal touch. The New York billionaire and former TV reality star generated much enthusiasm for his anti-establishment message, but in the end he was out muscled by Cruz more traditional ground game and saw some late-deciding voters side with U.S. Senator Marco Rubio. All signs had pointed to a Trump victory in the first nominating contest in the race for the White House, with the Des Moines Registers influential poll giving Trump the lead on the weekend before Iowans went to caucus on Monday.  The loss, while not by a large margin, raised questions about Trumps ability to perform as well in voting contests as he does in polls. Prior to Monday, Trump had repeatedly boasted that he would easily win Iowa, and he has been the front runner in most national polls since last summer.  Sensing victory, Trump had mocked Cruzs ground game in the hours before voters went to their caucus sites. I hear they all have these great ground games, theyve got people pouring in on buses and trucks, Trump said at a campaign rally. They are spending all the money they have from special interests. For our country, I want the person who is going to spend the least amount and get the best results. Trump had relied on what Iowa Republican Party Chairman Jeff Kaufmann told Reuters was a stealth ground effort. For some though, the specifics of Trumps plan for turning out his supporters on Monday were questionable. Instead of aggressively trying to convert any and all Republicans to his cause as Cruz did, Trump relied mostly on signing up supporters from among those who attended his rallies.  The challenge Trump faced was trying to persuade these people, many of whom had never participated in a caucus before, to show up. Tana Goertz, Trumps Iowa campaign chair, was frequently an introductory speaker at Trump events and would encourage attendees to make sure they knew where to go to caucus. Leaflets were passed out reassuring voters that the ballot is secret and, most caucuses take less than 1 hour. Its new to a lot of these people who were supporting him, said David McNeer, of Newton, Iowa, who steered his precinct into overwhelmingly voting for Trump. It may be at the end that some of them didnt come out like they thought were going to come out. Trumps bombastic style and flair for the dramatic may in the end have not helped as much as he would have hoped. As Cruz and Rubio went the more traditional route of talking to small groups of people at pizza parlors and hotel conference rooms, Trump would make a dramatic entrance in his private jet, emblazoned with his name, and tear into his rivals at rallies attended by thousands. He made pandering comments like wanting to buy a farm in Iowa and hoping his pregnant daughter would deliver her baby in the state. He did few small events. Gary Updegraff, an enthusiastic Trump backer and precinct chairman in Des Moines, said he believed Trump would adjust his style. Hes a very smart man, hes going to analyze this with his people, hell talk to his family probably about it. I think the genuineness of Donald Trump needs to come out a little bit more, Updegraff said. Trump took some initial steps in this direction in the final days before the caucus. He appeared with evangelical leader Jerry Falwell Jr., who asked Trump friendly questions that played up the candidates contributions to charitable causes and pointed out he served cheeseburgers, not caviar, on his plane. At least some of his supporters think Trump might have performed better if he had participated in a Fox News debate last week instead of boycotting in opposition to anchor Megyn Kelly and a Fox news release he felt had a biting tone. I think a lot of things caught up to him here in the last couple of weeks, said Trump supporter Brett Ridge of Des Moines, speaking shortly after Trumps concession speech. When it comes down to it, he should have been at the debate last week. Trump noted in his concession speech that some had argued he would never do well in the state. Iowa, we love you, Trump said in defeat. You are very special. I think we might come back here and buy a farm.  (Additional reporting by Ginger Gibson, editing by Paul Thomasch and Ross Colvin) SAP is the sponsor of this coverage which is independently produced by the staff of Reuters News Agency.",politicsNews,"February 2, 2016 ",1
