Statement,Label
When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,True
"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.",True
The economic turnaround started at the end of my term.,True
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,True
"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",True
"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",True
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,True
"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",True
"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",True
The economy bled $24 billion due to the government shutdown.,True
"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",True
McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,True
"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",True
"Almost 100,000 people left Puerto Rico last year.",True
The United States has the highest corporate tax rate in the free world.,True
We just had the best year for the auto industry in America in history.,True
"Says Scott Walker favors cutting up to 350,000 families and children off health care.",True
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,True
Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,True
Youth unemployment in minority communities is about 40 to 45 percent.,True
Says Paul Ryan is still endorsing Trump.,True
We cut business taxes so today 70 percent of our businesses dont pay a business tax.,True
Says Mark Pryor votes with Obama 93 percent of the time.,True
We have a federal government that thinks they have the authority to regulate our toilet seats.,True
Austin is a city that has basically doubled in size every 25 years or so since it was founded.,True
"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",True
"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",True
Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,True
African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,True
Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,True
"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",True
"In Georgia, women earn 82 cents for every dollar earned by men.",True
A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,True
"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",True
"Said he's the only Republican candidate ""who's actually turned around a government economy.",True
"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.",True
"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",True
"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",True
"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",True
"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.",True
The only time in our history when the debt has been higher than this was the end of World War II.,True
The cost of health care is now the single-biggest factor driving down the federal budget deficit.,True
"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",True
I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,True
Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,True
"At some point in their lives, 99% of women use birth control.",True
Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,True
"In Rick Perrys Texas, we import nurses ... from other countries.",True
There is a federal criminal law that says its a crime to transport dentures across state lines.,True
