Labels,Text,Text_Tag
5,"John McCain has said the economy is ""not his strong suit.",economy
5,"Every day in the United States, we are losing 15 factories.","economy,jobs,taxes"
5,"Congressman John Lewis, an American hero, made allegations that Sarah Palin and I were somehow associated with ... the worst chapter in American history. ... And, Senator Obama, you didn't repudiate those remarks.",candidates-biography
5,"The national debt is equal to $48,700 for every American or $128,300 for every U.S. household. It is now equivalent to the size of our entire economy.",deficit
5,This week the House of Representatives voted to remove the word lunatic from federal law.,legal-issues
5,"Currently, there is no one from South Austin on the (Austin City) Council!",candidates-biography
5,Sixty percent of the auto thefts that we have in (St. Petersburg) are caused by people leaving their keys in the car.,crime
5,"Says if labor force participation rate were the same as when Barack Obama became president, unemployment would be 11 percent.","economy,jobs"
5,There was no surge in 501(c)(4) applications in 2010.,taxes
5,"Says 10 days after Hurricane Katrina, this chamber passed two separate bills amounting to $60 billion. It has been nearly two months since we had Superstorm Sandy, and nothing has passed.","natural-disasters,weather"
5,"The extra point is almost automatic. (The NFL) had five missed extra points this year out of 1,200 some odd attempts.",sports
5,John McCain voted against funding the troops because of . . . a timeline in it to draw down American troops.,iraq
5,"Voting in the wrong precinct led to over 14,000 registered voters statewide to lose their vote in 2008.",elections
5,"In Harrisburg, I passed more bills than all the Democrats combined, in terms of legislation affecting the city.",government-efficiency
5,"This year, Newt Gingrich has raised as much money as Mitt Romney, Tim Pawlenty, Sarah Palin, and Mike Huckabee combined.",campaign-finance
5,"Says she has bipartisan support, including 53 sheriffs throughout the state, Democrats and Republicans.",elections
5,"One in four Texans lacks health insurance, the highest proportion in the nation.","health-care,pundits"
5,Says Portland has higher standards than feds on allowed police use of force.,city-government
5,The Latino unemployment rate is higher than the white rate and the black rate is higher than the Latino rate.,"diversity,economy,workers"
5,"The cost to implement Florida's class size amendment so far has been ""$16 billion.",education
5,Obama put a 10 percent tax on tanning.,health-care
5,Says he sued Obamas EPA seven times.,"energy,environment"
5,"President Obama will now own 60 percent of GM, and his union buddies will own almost 20 percent.","bankruptcy,market-regulation"
5,Californias credit rating is the worst in the country.,"economy,message-machine,state-budget"
5,"Since Newtown, more people have died at the end of a gun than we have lost in Afghanistan.",guns
5,Only 18 percent of jobs are accessible by transit for metro Atlanta residents. 33 percent for those living in the city.,"economy,transportation"
5,"With those first principles, it allowed a fellow like me to get in his truck and go from one end of the state to the other; started 20 points down and wound up 20 points ahead on election night.",elections
5,That luxury jet was over the top. I put it on eBay.,transportation
5,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.",bankruptcy
5,Our national debt ... is on track to exceed the size of our entire economy ... in just two more years.,federal-budget
5,"If you take into account all the people who are struggling for work, or have just stopped looking, the real unemployment rate is over 15 percent.","economy,jobs"
5,A congressional laundry closed due to the partial government shutdown.,"debt,federal-budget"
5,Gross income tax receipts are exceeding the Administrations projections for this fiscal year prior to Sandy.,state-finances
5,"Because of a local version of Amendment 4, the taxpayers of St. Pete Beach have had to pay hundreds of thousands in legal bills.","economy,florida-amendments,taxes"
5,The Capitol rotunda was actually made to invite the people in and to accommodate protests.,legal-issues
5,The United States has one of the highest corporate tax rates in the world.,"corporations,economy,taxes"
5,"Charlie Crist ""bizarrely vetoed"" $9.7 million for a teaching hospital at the University of Florida ""despite having previously argued the budget request had merit.","health-care,state-budget"
5,"Under current law, if you go on a dating website and you say youre 32 and youre actually 42, youve committed a misdemeanor.","legal-issues,pop-culture,technology"
5,The proposed raises for the Norcross City Council would put it in line with other liked-sized communities.,"city-budget,city-government"
5,"There has never been a death caused by a [commercial nuclear] reactor in the United States, even when Three Mile Island failed in the 1970s.",nuclear
5,"Obama spent ""40 percent of the PAC money, 43 percent to be exact, on Iowa, New Hampshire, Nevada and South Carolina politicians.",ethics
5,Says Texas ranks last in the percentage of residents with high school diplomas.,"education,pundits"
5,Says Bruce Springsteen played in 1975 at Seton Hall University in South Orange at Walsh gym.,pop-culture
5,The overall fact about illegal immigration is that its not actually getting worse.,"immigration,pundits"
5,More people are apprehended after illegally crossing the U.S.-Mexico border a week than are born in Texas each week.,"children,immigration,population"
5,"For more than 30 years after World War II, there was a steady reduction in U.S. debt as a percentage of gross domestic product.","deficit,economy"
5,"While I was working on those streets watching those folks see their jobs shift overseas, you were a corporate lawyer sitting on the board at Wal-Mart.",candidates-biography
5,The deficit was on track to top $1 trillion the year I took office.,"deficit,federal-budget"
5,The NRA used to support expanded background checks.,guns
5,Says that in the U.S. House of Representatives weve had bipartisan support for the repeal of Obamacare for getting rid of cap and trade for building the Keystone Pipeline.,"bipartisanship,climate-change,congress,congressional-rules,voting-record"
5,Wrong precinct rules exacerbate our provisional ballot problems (and) HB 194 does nothing to solve the wrong-precinct problem.,elections
5,Says Donald Trump used undocumented labor to build the Trump Tower.,"candidates-biography,immigration"
5,Sharron Angle would eliminate the Department of Education.,"education,legal-issues,message-machine,states"
5,The five economic indicators that the federal government tracks - for the first time since August 2006 - were positive this October.,economy
5,"Says a poll shows that without a name attached, Democrats are just one point behind Gov. John Kasich.","elections,polls"
5,My property taxes went down largely because my technical college portion went down 35.5% because of the money we put in at state.,taxes
5,Says she is the subject of 60 books.,candidates-biography
5,"In writing his book, Gov. Perry pointed out that by any measure Social Security has been a failure.",social-security
5,"Will Hurd tends to have a 96 percent straight Republican, straight party voting record.","bipartisanship,congress,redistricting,voting-record"
5,Greece is not a big economy. Its about the size of metropolitan Miami.,"economy,foreign-policy"
5,Forty cents of every dollar being spent by the federal government is being borrowed from my children.,federal-budget
5,Cigarette butts poison babies and small children because of the nicotine in them.,"children,environment,public-health"
5,"Since I took office, over 319,000 new private sector jobs have been created in Georgia with nearly 93,000 of those coming in the past 12 months.","economy,jobs"
5,"First, he said he would leave residual forces in Iraq, and now he says he wouldn't.",iraq
5,"When Sen. Edwards ran in 2004, he wasn't for universal health care. I'm glad he is now.",health-care
5,Says Multnomah County libraries are open 44 hours per week the lowest of any library in the four-county region.,taxes
5,Says Mike Huckabee appeared in diabetes infomercials to endorse cures and treatments that no health agency supports.,"candidates-biography,health-care,science"
5,"Now, I also support the Bush tax cuts. Sen. McCain voted against them originally. He now believes they should be made permanent. I'm glad he agrees they should be made permanent.",taxes
5,The mosquito population in South Florida is larger than it is in many other communities in the country.,"environment,public-health"
