title,text,subject,date,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,label
 Dramatic Increase In Violence Against BLM Employees Thanks To Bundy Terrorists,"According to the most recent statistics, attacks against federal range and forest workers have increased dramatically over the past year.According to PEER, an organization which keeps track of incidents of violence and threats of violence against environmental stewards, violence against employees of the US Bureau of Land Management (BLM) increased sharply between 2014 and 2015.According to a press release dated May 31, 2016:Reported incidents nearly doubled (87% increase) on rangelands overseen by the U.S. Bureau of Land Management and increased by more than half (60%) on national forests.The organization has maintained a database to track incidents of violence against federal resource employees since the 1995 bombing of the federal building in Oklahoma City.PEER tracks incidents targeting a wide range of agencies employees.According to the press release, threats and assaults against the U.S. Forest Service increased in 2015, with the number of reported incidents rising from 97 to 155.Incidents involving The National Park Service and the National Oceanic & Atmospheric Administration also rose last year.Executive Director Jeff Ruch warns that Security is a rising concern for scientists and other specialists working in the remote Western outposts. PEER notes that the greatest increase in violent incidents involved the BLM.The District Sentinel points out that the reporting period occurred between  two high-profile acts of aggression against federal land officers by domestic extremists: the Bundy Ranch standoff, in 2014, and the armed takeover of Oregon s Malheur Wildlife Refuge, at the beginning of 2016. In the press release Ruch warns that right-wing militia groups present a serious public safety threat,  especially on federal lands in the Sagebrush West. PEER s stated mission is to protect public employees who protect our lands.According to their website:The U.S. Justice Department no longer systematically tracks assaults on federal employees. A reporting requirement for such incidents enacted after the Oklahoma City bombing was repealed in 2002 after DOJ complained that collecting this data was cumbersome.Ruch says he hopes that  By studying the patterns of these events perhaps managers can begin to defuse or prevent confrontations over federal lands. Image credit: Wikimedia Commons ",News,"June 6, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
" NY Gov. Cuomo Directly Threatens Businesses: ‘If You Boycott Israel, New York Will Boycott You’","In an unprecedented and unconstitutional move, New York s governor, Andrew Cuomo, has issued an executive order creating a blacklist of businesses in the state that are involved in the BDS movement against Israel. BDS stands for boycott, divest and sanction, and is a major way of protesting Israel s illegal actions in Palestine.The order actually tells state officials to compile a list of businesses involved in the BDS movement so Cuomo can order the State of New York to boycott them. As Baher Azmy, of the Center for Constitutional Rights, put it, this is 21st century McCarthyism, and it s vile.Speaking at the exclusive Harvard Club, Cuomo had the gall to say: If you boycott against Israel, New York will boycott you. If you divert revenues from Israel, New York will divert revenues from you. If you sanction Israel, New York will sanction you. Citizens United pretty much gave businesses First Amendment rights, and this violates those rights. Cuomo is using government power to coerce   even force   businesses into supporting Israel whether they want to or not. He called BDS an  economic attack on Israel  that must be stopped.While various states have bills in their legislatures that would likewise sanction businesses involved with the BDS movement, Cuomo s executive order gives him immediate power to take care of these businesses with a list that will be made public once it s finished. He even said that passing legislation can often be tedious, as though that s justification enough for issuing an order like this.Omar Barghouti, a founder of the BDS movement, said this isn t surprising and explained what Israel is busy doing: Having lost many battles for hearts and minds at the grass-roots level, Israel has adopted since 2014 a new strategy to criminalize support for B.D.S. from the top,  he said in an email, adding that such actions were meant to  shield Israel from accountability.' Israel will live by the sword for as long as it can; it will occupy all of the land for as long as it can, and it s afraid its time will draw to a close sooner rather than later if the U.S. officially condemns their actions in Palestine. As such, they re brainwashing us.Alphonso David, Cuomo s general counsel, said that this order specifies the BDS movement, but would target any boycott aimed at Israel. He also said it s meant to send a message about the BDS movement: Mr. David said in an interview that the executive action was meant to send a clear message that  the B.D.S. movement is deplorable.  He added that the governor s order was not meant to be interpreted as  opining on actions taken to empower Palestinians,  or meant to discourage debate over Israeli actions in the Middle East. Rather, it intends to stake a position on a movement that  the State of New York unequivocally rejects,  as the order puts it. The State of New York can reject whatever it wants. It can issue a statement to that effect. It should not be allowed to trample the 1st Amendment rights of anybody for any reason, especially to protect a country guilty of heinous atrocities.Constitutional rights are inalienable, unless you use them to protest Israel.Featured image by Stephanie Keith/Getty Images",News,"June 5, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
" CA Cops Brutally Beat Man Accused Of Jaywalking, Charge Him With Assault (VIDEO)","Bystander footage shows a group of Bakersfield, California police officers brutally beating a man in the street.The video begins with the man, now identified as Robert Woodson, lying in the street with an unidentified officer standing over him. He can be heard screaming that he thinks his leg is broken.Two more officers arrive on the scene.The video shows the officers repeatedly striking Woodson with a police-issued baton.Throughout the brutal assault the officers can be heard shouting,  Stop resisting! Stop resisting. The person recording the incident responds by sayinm  He s not doing nothing,  and  He s not resisting. While it s clear that Woodson wasn t complying with police commands, at no time does the video show him trying to get up off the ground, making threatening moves or gestures toward police.In spite of this, the cops use a taser on him.His screams of pain can be heard throughout the encounter.According to KERO Woodson was eventually taken to a local hospital where he was treated for injuries sustained during the episode.The police watchdog organization Photography Is Not A Crime reports that the man suffered an injury to his arm which required a cast.Police charged Woodson with resisting arrest and assaulting a police officer.If that s not disturbing enough, during an interview with KERO, Bakersfield police sergeant Gary Carruesco stated that police  acted appropriately,  in part because they were concerned Woodson had  mental issues. The video, combined with the disturbing response from sergeant Carruesco, provides a bleak picture of how law enforcement officers respond to people with mental illness.While police assessed Woodson s behavior as willful noncompliance, it s unknown whether the man was physically or mentally capable of following officer s commands.In Woodson s case, officers expressed their  concern  for him with tasers and batons.Here s the video, courtesy of KERO.Featured image via ideo screen capture via KERO",News,"June 5, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
 The Obamas Gave A Heartbreaking Tribute To Muhammad Ali (VIDEO),"The last couple of years have been rampant with what seems like premature deaths. Would we have ever been able to prepare ourselves for the deaths of Robin Williams, David Bowie, Prince and so many, many more people? Unfortunately, we have another name to add to what seems like a particularly grim year: Muhammad Ali   and the Obamas, in a statement to America,  mourned the loss as deeply as any of us.To the Obamas, Ali   who was resoundingly loved and admired, and was actually (unlike President Obama) a black Muslim   was  The Greatest. Period. Like everyone else on the planet, Michelle and I mourn his passing. But we re also grateful to God for how fortunate we are to have known him, if just for a while; for how fortunate we all are that The Greatest chose to grace our time, Muhammad Ali was The Greatest. Period. If you just asked him, he d tell you. He d tell you he was the double greatest; that he d  handcuffed lightning, thrown thunder into jail,  Obama wrote.  But what made The Champ the greatest   what truly separated him from everyone else   is that everyone else would tell you pretty much the same thing. The President also tweeted, showing himself working with a picture of the Champ behind him.He shook up the world, and the world s better for it. Rest in peace, Champ. pic.twitter.com/z1yM3sSLH3  President Obama (@POTUS) June 4, 2016Obama also noted that he has a pair of Ali s boxing gloves in his private study.Obama continued,  I am America,  he once declared.  I am the part you won t recognize. But get used to me   black, confident, cocky; my name, not yours; my religion, not yours; my goals, my own. Get used to me.  That s the Ali I came to know as I came of age   not just as skilled a poet on the mic as he was a fighter in the ring, but a man who fought for what was right. A man who fought for us. He stood with King and Mandela; stood up when it was hard; spoke out when others wouldn t. His fight outside the ring would cost him his title and his public standing. It would earn him enemies on the left and the right, make him reviled, and nearly send him to jail. But Ali stood his ground. And his victory helped us get used to the America we recognize today. Muhammad Ali shook up the world,  Obama concluded in his tribute to Ali.  And the world is better for it. We are all better for it. Michelle and I send our deepest condolences to his family, and we pray that the greatest fighter of them all finally rests in peace. Source: Rolling StoneHere s a video:While Obama was born during the height of the Civil Rights Movement, he came of age watching Ali. To Obama, Martin Luther King and even Malcolm X were parts of history books, but Ali was brash, confident, smart, socially aware and a force to be reckoned with in the 60s and 70s. While so many Civil Rights leaders were working behind the scenes, or perhaps in front, but more quietly, Ali told the world that he could do anything, no matter his skin color. Perhaps there would have never been a President Barack Obama if it weren t for the example put forth by Muhammad Ali.Featured image via Kent Gavin at Getty Images.",News,"June 5, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
 Trump Caught Paying Women Working On His Campaign MUCH Less Than Men,"It s not surprising that Donald Trump would pay his female staffers less than his male staffers. He s sexist, so that s to be expected. What is surprising, though, is just how bad it is. On average, in the U.S., women are paid about $.79 for every dollar men are paid, even for the same work. Trump pays the women working on his campaign about $.65 for every dollar his male staffers make.Now, some will make the argument that we don t necessarily know what his female staffers are doing versus what his male staffers are doing. There s a possibility, those people would say, that the men are getting paid more because they all hold higher, more difficult positions, or they work more hours, or they do better work in general, or all of the above.That s still blatantly sexist.For April, the women on Trump s staff earned about $4,500, while the men earned about $6,100. That s a 35 percent difference, which is egregious, even for him. Supposedly, he believes in equal pay, but says it s too complicated an issue for legislation. Too much can go into whether men and women are really doing the same job or not, he says.So, what, we re supposed to assume that he s paying all his staffers exactly in accordance with the jobs they do, and how well they do them? Please.Whichever way we look at this, Trump s campaign is set up in a traditionally sexist manner, which is at odds with his assertions that he ll be so good for women (and black people, and Latinos, etc.) once he s elected. That, in and of itself, is laughable considering how badly he treats women, and some of the misogynistic comments he s made about women. For him to make that claim while allowing a pay gap that s much worse than even the national gender pay gap is ridiculous.Compare all of that to how Hillary Clinton is treating her staff, and the differences are stark. Of the 15 highest-paid staffers on her campaign, eight were men and seven were women in April. Men earned about $3,760, while women earned about $3,710. There s still a gap there, but it s extremely thin. When it comes to women s equality, Hillary knows she has to set an example with how she runs her campaign.Trump loves talking big. That s his whole game   talk big, do what he wants even if it makes him a huge hypocrite. But since he thinks letting women work is a bad idea anyway, then maybe he s not such a hypocrite. Just a disgusting, sexist prick.Featured image by Spencer Platt/Getty Images",News,"June 5, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
" S.C. Pastor LOSES IT, Goes On Bizarre, Anti-Atheist Rant From Pulpit (VIDEO)","Phil Vander Ploeg says that he is a  Christian apologist.  Well, if that is so, then he needs to get down on his knees and apologize to the atheists of the world for telling lies about us from his pulpit at the First Baptist Spartanburg in South Carolina. Vander Ploeg says: Why doesn t God just walk into the room one day and say,  Hello, I m God, I m real,  and then leave? God has revealed himself far more than some people want to acknowledge. It s obvious.The only atheists in the world live in America and Europe. Everyone else knows there s a god. But we ve developed a worldview in the West that justifies our actions. That s why we don t believe in God. Well, no, sir, that isn t true at all. According to Gallup (which, by the way, is much more reliable than some nutty preacher), there are more atheists in China than anywhere in America or Europe. Last I checked, that s not the western world. Here is what Gallup International had to say about the concentration of atheists in China: China has the highest amount of atheists living in a single country with nearly 50 per cent of its population describing themselves as non-believers. Around 47 per cent of people living in China describe themselves as atheists compared to an average of 13 per cent across the world. Methinks Pastor Vander Ploeg has gotten his facts wrong. Further, he also says that people are only atheists because they want to live their lives their way, rather than God s way. Wrong again! People are atheists because they don t believe in a deity, pure and simple.Watch the insanity in action, below:Featured image via video screen capture",News,"June 5, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
 22-Year-Old Inmate Dies After Being Punished For ‘Faking Illness’ In FLA Jail (VIDEO),"Max Gracia, a 22-year-old resident of Orlando, Florida, was found dead in an Orange County jail cell on the morning of August 11, 2015. Autopsy results show that Gracia died of sepsis, after wounds from a police canine bite became infected.As WESH reports here, documents released following an internal police investigation show that Gracia was checked into the jail infirmary following his arrest. He was then discharged without ever being evaluated or treated.Records obtained by WESH show that on the night before his death Gracia was so sick that he could not get out of his bed.The documents show that:When jail officers told Gracia to get out of his bed, he  slowly went to the floor and lied on his back saying that he could not move anymore. Instead of offering medical attention, a jail nurse, who later resigned, wrote that the 22-year-old  was faking or exaggerating his medical condition and inability to get up. The nurse interpreted his illness as an  implicit refusal for medication. Gracia was then disciplined by jail officials, who charged him with refusal to follow orders and  feigning an illness. He died in his cell hours later.Here s more on this story from Fox 11:In 2013, the state of Florida privatized healthcare services for inmates. Since that time the number of inmate deaths has steadily increased.Up until May 31, 2016, Corizon, a private corporation which provides healthcare to inmates in a number of states, was responsible for inmate care in Florida.After thousands of inmate complaints and hundreds of unexplained inmate deaths, the company decided to terminate its $1.1 billion contract with the state two years early.As the Miami Herald reports here:Audits conducted by the state s Correctional Medical Authority found problems with inadequate medical care, nursing and staffing shortages, and hundreds of pending lawsuits against the state and the healthcare companies claiming inadequate care.An analysis published by the Miami Herald in November showed that in 2014 alone  346 inmates died in Florida prisons   176 of them listed with no immediate cause of death. It was the highest number on record. The increase in the number of inmate deaths occurred even as the number of inmates in Florida prisons declined.As of June 1, Centurion, another private corporation, will take over inmate care in the state.As the Miami Herald reports:The company s lead lobbyist is former House Speaker Dean Cannon, and its parent company, Centene Health, is a primary provider of managed Medicaid services in Florida   doing business as Sunshine Health   and one of the largest contributors to legislative political committees in the state. Centene gave $298,000 to legislative campaigns and political committees in 2015 alone.",News,"June 5, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
 WATCH: Dixie Chicks Kick Off First Tour In A Decade By Humiliating Donald Trump On Stage,"They haven t toured in ten years but the Dixie Chicks began their new world tour by making one hell of a political statement.The trio have never been shy about slamming Republicans in the past. Just ask Ted Cruz and George W. Bush, both of whom have been heavily mocked and criticized by the band.In 2003, radio stations across the country literally censored the Dixie Chicks by pulling their music off the air because Natalie Maines dared to slam Bush for dragging America into a costly war with Iraq.During a concert in London, Maines said she was  ashamed the president of the United States is from Texas. Just so you know, we re on the good side with y all,  Maines said.  We do not want this war, this violence, and we re ashamed that the president of the United States is from Texas. Not long after, Bush started a war based on lies that resulted in the deaths of over 4,000 American soldiers. That action forced America to fight on two fronts in the Middle East and caused the war in Afghanistan and the hunt for Osama bin Laden to take even longer as Bush took his eye off the ball to focus on Saddam Hussein instead of the terrorist who planned the 9/11 attacks.And Maines has taken shots at Ted Cruz and Donald Trump throughout the Republican primary on her Twitter account.Next time you re day dreaming, picture Donald Trump teaching his son Eric to throw a ball. Any ball. It s funny.  Natalie Maines (@1NatalieMaines) March 16, 2016 You know I m not a big fan of Ted Cruz, but I gotta say I m kind of liking his new facial hair. pic.twitter.com/VIC8JWXNKx  Natalie Maines (@1NatalieMaines) January 27, 2016I stand corrected Just so you know, I m ashamed Ted Cruz claims to be American. pic.twitter.com/JUltNImOXH  Natalie Maines (@1NatalieMaines) January 24, 2016 As long as Donald Trump s decisions for America are as solid as his decision about his hair, we re in good shape.  Natalie Maines (@1NatalieMaines) January 24, 2016On Wednesday, however, the Dixie Chicks humiliated Trump while on stage in Cincinnati by depicting him as the devil on the big screen behind them while singing a tune about a husband who abuses his wife.Here s the video via YouTube:Donald Trump is a vile racist who is so thin-skinned that it would be easy to provoke him into using the military to attack countries he doesn t like if he should actually be given command of our armed forces by the American people in November. He has even refused to rule out nuclear war against Europe and the Middle East which puts our military and the entire world population at serious risk. America does not need any more wars, but electing Donald Trump as president would just about guarantee perpetual war and it looks like the Dixie Chicks are prepared to wage political war against Trump to make sure that doesn t happen.Featured Image: Screenshot",News,"June 5, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
 GOP Senator Incapable Of Answering This Simple Question About Trump’s Border Wall (VIDEO),"Donald Trump s proposal to build a wall between the United States and Mexico is absolutely ridiculous. It s unnecessary, counter-productive, and an insult to our national neighbor. The fact that Trump thinks that Mexico should foot the bill for the mega-project serves as the cherry on top of the giant pile of bullsh*t that Trump has served to his supporters insisting that it is made of ice cream.The proposal is just one of many elephants in the room that the GOP is refusing to give any coherent opinion on. That s why when Republican Senator Bob Corker appeared on ABC s This Week, the show s host George Stephanopoulos pressed the Senator for some clarity on the matter.Here s a transcript of the exchange:GEORGE STEPHANOPOULOS: Senator, let me go ahead, let s talk about his ideas. You are the chair of the Senate Foreign Relations Committee and you ve said his call for a temporary ban on Muslim immigration is not a serious proposal. The former head of the CIA Michael Hayden said this morning it s a recruiting tool for ISIS. If Donald Trump as president, moved to impose that ban would you support it or try to stop it?SEN. BOB CORKER No, I would not support it and I ve already issued statements to that effect and what I understand is he has stepped away from those statements.STEPHANOPOULOS: Well, he has said he still supports those statements. He s also said in every speech that he talks about building a wall on our border and getting Mexico to pay for it. Is that realistic and what would it do to our relations with Mexico?CORKER: You know, obviously we do need to have good relations with Mexico and Canada. We do. That s one of the things that makes our country in such a stable environment having two friends on our borders unlike many countries around the world. There is a security issue. I authored an amendment during the immigration debate that actually makes building a wall look like Ned in the first reader meaning it was even more difficult and by the way, I mean, a tougher security border measure   by the way, every Democrat in the Senate voted for that measure. So there s no question that we have agreement in our country that we need greater security. It s strongly bipartisan and I hope that we will implement that because it is a security threat.STEPHANOPOULOS: But is it realistic to expect Mexico to pay for the wall?CORKER: Again, I think people agree with that   what s that?STEPHANOPOULOS: Is it realistic for people to expect Mexico to pay for that wall?CORKER: Well, again, I don t want to get into a debate about the nuances of that. I mean it s a statement that he has made. I thought this interview was going to be more about the foreign policy arena. I think he has a tremendous opportunity there.STEPHANOPOULOS: Well, our relations with Mexico is foreign policy.CORKER: Okay. Well, look, as to how the wall is paid for, that s something that Congress certainly will debate. My guess is there will be additional debates regarding how the actual security measures will be put in place but securing our border has been something that people on both sides of the aisle have supported for years and we need to do that and it s understandable that it s become an issue because it s lingered for so long. We had an opportunity to deal with this years ago. It wasn t dealt with. Needs to be dealt with now. And hopefully we ll move beyond that very quickly.Surprise, surprise. No clear answers on one of the most important topics of the election cycle. If you can t answer a simple question about what may become part of your party s platform   it might be a good sign that it is time to jump off the ship.These days, it s looking more and more like top members of the Republican Party are embarrassed to be a member of that party. The Republican National Convention is coming up fast, sooner or later the GOP is going to have to decide if they are willing to go completely off the deep end and agree to support Trump s fascist proposals.You can watch the interview below. Featured image from video screenshot",News,"June 5, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
" WATCH: Conservative Game Show Host Insults Minimum Wage Earners, Supports Punishing Liberals","Chuck Woolery wants America to return to the 1950s when liberals were punished for exercising free speech and the minimum wage was $1.00 an hour.During an appearance on Fox & Friends on Sunday the former Wheel of Fortune host whined about Matt Damon s commencement speech in which the actor addressed the need for a higher minimum wage and blasted Republican nominee Donald Trump.Woolery responded by accusing Damon of being a communist and suggested punishing liberals who express their support of anything deemed a communist idea by the right-wing. In the  50s in Hollywood if you spoke for communism, you were blackballed,  Woolery said.  In the  90s and 2000s in Hollywood if you speak for communism, you re rewarded for it. But if you speak against communism, you re blackballed. And that s blatantly not true since conservative actors like Gary Senise and Tom Selleck have both starred in movies and great television programs. Also, since when is free speech a communist thing?Woolery then attacked workers who make minimum wage by suggesting that those workers don t work hard and are just starting out and don t have families to support. Most people don t realize that it s not a good thing, it s a bad thing,  Woolery claimed about raising the minimum wage. I think it s the liberals  job to take the simple and make it as complex as possible. I think it s the conservatives  job   and we don t do a very good job of it   to take the complex and make it as simple as possible. The things that sound really good   this knee-jerk reaction to 15 bucks an hour   my son is 20 years old, he would love to make $15 an hour. You ve got to earn your way in this world, and if it costs them $15 a hour and you re a small business and it ruins the business, what good does it do?  he continued.  These are people who are starting off. They re not people who have families by and large. Here s the video via YouTube:Again, Woolery doesn t know what the hell he is talking about. Not only is raising the minimum wage good for the overall economy, it strengthens businesses and actually does help the families of these workers.According to the Center of Economic and Policy Research, the average age of a minimum wage worker is 35-years-old, far from someone who is just  starting off. Indeed, the Department of Labor says that women would especially benefit from a much needed minimum wage hike.More than half of those who would benefit are women   about a third of them have children. In fact, of the 2.8 million working single parents that would benefit, more than 80 percent are women. And research shows that raising the minimum wage reduces child poverty among female-headed households.Raising the minimum wage would immediately impact these families and the local economies they live in. The cost of living has gone up along with the bloated income of wealthy assholes like Chuck Woolery. Therefore, minimum wage workers should see an increase and that increase would definitely be over $10 an hour if the minimum wage had been tied to inflation since the 1960s. And if you re a woman, you only make 77 cents for every dollar a man makes, which makes things worse.Wage hikes also boost worker morale, which makes businesses stronger. A happy workforce that is taken care of by their employer means a healthier business and a healthier community. Woolery might understand that if he hadn t spent his career  working  as a game show host. There are people in this country who work far harder than he does and they only make minimum wage. Also, minimum wage is lowest in red states so Woolery just insulted millions of conservatives.Featured Image: Screenshot",News,"June 5, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
