"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.N. Secretary-General Antonio Guterres says he is alarmed by the risk of military escalation on the Korean Peninsula. The absence of communication channels with the DPRK (North Korea) is dangerous, he told the 15-member council.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Wang Yi says a peace agreement is the only right choice in the nuclear dispute with North Korea. Peaceful settlement of the nuclear issue on the Korean Peninsula through dialogue and negotiations.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""China says it is opposed to any official exchanges between Taiwan and countries that have diplomatic ties with China. China considers self-ruled Taiwan a breakaway province.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The issue of THAAD deployment should be handed over to the next (South Korean) government, Youn Kwan-suk, a spokesman for Moon Jae-in, said in a statement. U.S. President Donald Trumps said South Korea should pay for the system.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Taiwans presidential office says it has no plans at this stage to hold a telephone call with U.S. President Donald Trump. The response came after Trump brushed aside the idea of such a phone call, following a comment by Taiwan President Tsai Ing-wen.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. Secretary of State Rex Tillerson says China has warned Pyongyang it would impose sanctions on their own against North Korea if it carried out another nuclear test. He also said intelligence reports suggest that North Korean leader Kim Jong Un was not crazy, indicating he might be a rational actor.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Advisers to President Donald Trump held a meeting at the White House on Thursday. They will likely meet again in May before making a final decision, an administration source said. Nearly 200 countries struck the Paris deal in 2015 to fight climate change.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The U.S. Court of Appeals for the District of Columbia Circuit canceled oral arguments that were due to take place on May 18. The rule, known as the MATS rule, has been in place for years.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Spokesman Sean Spicer said it was appropriate for a Pentagon agency to investigate former national security adviser Michael Flynn for possible wrongdoing. Spicer said: If they think that theres wrongdoing, the departments inspector general should look into it.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The Senate Health, Education, Labor and Pensions Committee voted 14-9 in favor. The vote means Gottlieb's nomination will now be voted on by the full Senate.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Russian newspaper Kommersant reported that the two leaders were set to meet for the first time in May. Kremlin spokesman Dmitry Peskov said the report was wishful thinking.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Mexican President Enrique Pena Nieto spoke with U.S. President Donald Trump on Wednesday. They agreed on the convenience of not scrapping the North American Free Trade Agreement (NAFTA)""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The Trump administration will continue to pay subsidies for low-income Americans receiving healthcare coverage under Obamacare. No decisions have been made about future funding, a White House official said.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""A one-week bill would give lawmakers a little breathing room to complete negotiations. Democrats have said they would support a weeklong extension only if a deal on a longer-term plan was close to completion. A senior House Republican suggested that was the case.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Canada is ready to come to talks on renewing the North American Free Trade Agreement at any time. At this moment NAFTA negotiations have not started.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""President Donald Trump proposes slashing the U.S. tax rate on corporate and pass-through business profits to 15 percent from 35 percent. Trump also wants to reduce the number of tax brackets to three from seven, double the standard deduction.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. Commerce Secretary Wilbur Ross is expected to announce a new probe into imported aluminum. The probe will be similar to the one the White House launched last week regarding steel, CNBC reported.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The Toronto Stock Exchange's S&P/TSX composite index .GSPTSE was down 0.11 percent. The Canadian dollar CAD=D4 weakened 0.29 percent versus the U.S. currency. The Mexican peso MXN= touched its weakest in 6 weeks versus the greenback.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Congress faces a Friday deadline to pass a spending bill. Speaker Paul Ryan: \""I think we are making really good progress\""""}, {""role"": ""assistant"", ""content"": ""True""}]}"
