"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Arab League to hold emergency meeting on U.S. plans to recognize Jerusalem as capital of Israel. Palestinians and Jordan had requested the meeting which will take place on Saturday.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The Crown Prince of Abu Dhabi offered his condolences to the son of slain former Yemen president Ali Abdullah Saleh. Sheikh Mohammed bin Zayed al-Nahyan visited Ahmed Ali at his residence in the United Arab Emirates capital. Ahmed Ali is a former commander of Yemen s elite Republican Guards.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Theresa May working towards unlocking talks at an EU summit later this month. Despite there being more work to be done, has made good progress, her spokesman says.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""British Prime Minister Theresa May warns against speculating on Northern Irish budget. May and DUP leader Arlene Foster had a telephone call earlier in the day.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""German Social Democrats (SPD) will do everything in their power to ensure Berlin embraces the European ideas of French President Emmanuel Macron. Chancellor Angela Merkel s conservatives are hoping to form a coalition with the SPD after failing to get a three-way coalition off the ground. The SPD will debate the idea of once again joining such a coalition at a congress on December 7-9.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""British Prime Minister Theresa May said she intended to speak to U.S. President Donald Trump about the status of Jerusalem. May said the ancient city should ultimately be shared between Israel and a future Palestinian state.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. President Donald Trump is undermining international stability, Martin Schulz says. Trump is due to announce later on Wednesday that the United States recognises Jerusalem as the capital of Israel.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Several people injured in a train crash near the German city of Duesseldorf. Passenger train of the regional provider National Express drove into a freight train.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""A man appeared in a London court on Wednesday on suspicion of plotting to kill Prime Minister Theresa May. A prosecution lawyer told Westminster Magistrates Court that the plot was to detonate an explosive device at the gates of Downing Street.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. recognition that Jerusalem is Israel s capital would be important for Israel. Israel s minister for public security, Gilad Erdan, says nothing will change. Erdan: We don t think this is an excuse for a new wave of violence.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. decision to move its embassy to Israel makes it more important than ever that the long-awaited American proposals on the Middle East peace process are now brought forward.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
