"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Young illegal  dreamers and their parents flip off Trump supporters while yelling expletives you would expect to hear in a prison. Wearing sombreros and ironically holding signs reading  No hate,  screamed  F*ck you!""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""A recent AFL-CIO poll found that Trump has more support than Hillary and Bernie Sanders combined. Democrats are worried as more and more union members are supporting Donald Trump for president.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""I am deeply offended by your campaign, since you subscribe to the liberal narrative that minorities need to be coddled and protected by the government. As if we are incapable of looking out for ourselves.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Judge Jeanine Pirro had Trump supporter Bobby Knight on her show to explain why he endorsed Trump.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""This video would be on a 24/7 mainstream media loop if the man who was brutally attacked by an angry mob was a Bernie Sanders or Hillary supporter. Will we ever see the faces or know the names of the 17 people arrested at this violent anti-Trump riot? When will these people be treated like the domestic terrorists they are?""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""This is Stephen Crowder at his best. So smart and so funny!""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Anti-Trump protesters are so out of control with their hate and violence yet it s Trump who s being blamed for hateful rhetoric. The truth is that these protesters don t want free speech unless it s theirs. They have no respect for anyone else and certainly not for authority.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Crowd shouts  Mexico and waves Mexican flag. Obama s Mexamerica disgusting! Angry mob vandalizes, threatens, and spits at a couple in a car.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The California GOP Convention is going on and it s more of the same thugs who re using violence and violent rhetoric to stop the support of Donald Trump. One of Trump s supporters was harassed and roughed up today in a show of total intolerance by the left.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Indiana Gov. Mike Pence commends Donald Trump but endorses Ted Cruz. Pence endorsed Cruz but went on to say he would support the eventual nominee.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The left keeps talking about how hateful the Trump supporters are but all the vitriol is coming from the commies who keep pepper spraying little kids and old people. Who does this?""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Alexis Bloomer filmed her apology to elders rant. She said her generation doesn't have the basic manners that include  no mam and  yes mam.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""A World War II veteran attended the Trump rally today at the Hilbert Circle Theater in Indianapolis. The veteran asked Donald Trump and Bobby Knight to discuss leadership. Here s the great response from Bobby Knight.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Just play this video for them. When you hear the left screaming about  hateful rhetoric  coming from the right, just play this Video.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": "" Establishment Republican and Never-Trumper Stephen Hayes was having a difficult time Tuesday after Donald Trump won all five east coast primaries. Hayes says GOP elites will look for a third party candidate if Cruz cannot beat Trump in Indiana.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The happiest people on earth can be found outside a Trump rally holding an anti-Trump sign.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The black man in the Black Lives Matter t-shirt was acting as security for corrupt Hillary. He suggested he go to the back of the line and ask secret service for permission to enter. The good news is that it appears the line to see Hillary (as usual) is pretty short.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Donald Trump was in Rhode Island yesterday for a rally. His arrival sent grown men and women into a frenzy. Supporters started chasing his bus to get an up close and personal view.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Voters should be focusing on the very real possibility that all of this infighting will give Hillary Clinton the keys to the White House. Think gun control, think 2-4 Supreme Court Justice appointments, think finishing what Obama started.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
